Unnamed: 0,text,rating,category,product_name,product_id,sold,shop_id,product_url,sentiment,processed_text
1,Barang sesuai pesanan dan cepat sampai,5,pertukangan,Staples Dekorasi Staples Kayu + Refill 8mm - Staples Gun 4-8 mm C Mart,418660637,1,1740837,https://www.tokopedia.com/shakaonline87/staples-dekorasi-staples-kayu-refill-8mm-staples-gun-4-8-mm-c-mart,positive,barang sesuai pesan cepat
2,Barang bagus harga murah,5,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,416032545,11,1477109,https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708,positive,barang bagus harga murah
3,Paket rapi...mantap....cepat....sampe ke tujuan,5,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,416032545,11,1477109,https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708,positive,paket rapimantapcepatsampe tuju
4,ya saya puas dgn barangnya,5,pertukangan,ALAT STAPLES TEMBAK &#40;AIR NAILER GUN&#41; OSSEL 1022J,102279869,5,771395,https://www.tokopedia.com/kamarmesin/alat-staples-tembak-air-nailer-gun-ossel-1022j,positive,ya puas dgn barang
5,Responya luar biasa b mantap,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,787,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,positive,responya b mantap
6,"seller top, pengiriman cepat barang oke",5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,787,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,positive,seller top kirim cepat barang oke
7,pengiriman cepat seller top,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,787,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,positive,kirim cepat seller top
8,Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,787,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max,positive,produk sesuai spec web respon seller cepat thankyou
10,"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,respon super cepat kirim cepat barang bagus sesuai deskripsi penjualthx gan
11,"Barang mantap, pelayanan cepat",5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,barang mantap layan cepat
12,"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,sipppsesuai picdscrbscuma blum coba
13,Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,3,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,neutral,sayang produk yg paking rapi buka n isi hambur saran klo kirim isi paku tembak lakban kemas paku gabung dgn yg cecer kualitas barang per bagus coba terima kasih
14,Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,barang sesuai deskripsirespon proses cepat terima kasih
15,Mantaaaaaaaappp..........,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,mantaaaaaaaappp
16,superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
17,josss pokok e bisa buat langganan,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,josss pokok e langgan
18,"berfungsi dengan baik, normal",5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,fungsi normal
19,"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,nilai reputasi jual nilai reputasi jual langkahlangkah
20,Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,barang sesuai deskripsi kirim cepat gak pake barang bagus mantap dahh pokok thanks gan
21,Sesuai dengan deskripsi,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,sesuai deskripsi
22,"bagus,  packing aman pake bublewrap.  ndak ada yang patah",5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,82,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm,positive,bagus packing aman pake bublewrap ndak patah
23,Barang sesuai deskripsi,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang sesuai deskripsi
24,cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp
25,barang sudah sampai sesuai pesanan .,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang sesuai pesan
26,Thanksssssssssssssss,3,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,neutral,thanksssssssssssssss
27,Barang bagus sesuai info fast response,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang bagus sesuai info fast response
28,"barang ok....
pengriman cepet....",5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang ok rim cepet
29,barang sudah sy terima gan thanks,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang sy terima gan thanks
30,paket telah diterima baik.. Terima kasih,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,paket terima terima kasih
31,"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang bagus ga kecewa order dah
32,"barang sudah di terima, terima kasih ....",4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang terima terima kasih
33,Barang sudah diterima .........,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,barang terima
34,sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,17740606,48,154386,https://www.tokopedia.com/e-shop2wheel/isi-refill-staple-stapel-straples-streples-staples-paku-tembak-gun,positive,sip udah sampe menit yg oke sesuai pesan gambar trimakasih kerjasamanya
35,sesuai deskripsi barangnya,5,pertukangan,Electric Rivet Gun Adapter,438509680,9,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter,positive,sesuai deskripsi barang
36,Produk sesuai pesanan tp blm dcoba,4,pertukangan,Electric Rivet Gun Adapter,438509680,9,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter,positive,produk sesuai pesan tp blm dcoba
37,Proses cepat dan mantap,5,pertukangan,Electric Rivet Gun Adapter,438509680,9,792976,https://www.tokopedia.com/pamasshop/electric-rivet-gun-adapter,positive,proses cepat mantap
38,sesuai deskripsi barangnya,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter,positive,sesuai deskripsi barang
39,Bagus sesuai dgn deskripsi thnks.,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,349810072,40,2951077,https://www.tokopedia.com/mahrumah/staple-gun-3-in-1-mollar-staples-tembak-stapler-tacker-hekter-heckter,positive,bagus sesuai dgn deskripsi thnks
